corp_code,corp_name,stock_code,report_nm,rcept_no,rcept_dt,time,호재성
161462,에이티넘인베스트,21080,사업보고서 (2022.12),2.02303E+13,20230314,17:07,FALSE
105466,KCC건설,21320,사업보고서 (2022.12),2.02303E+13,20230316,17:09,TRUE
160010,한국큐빅,21650,사업보고서 (2022.12),2.02303E+13,20230321,09:30,TRUE
140061,TKG애강,22220,사업보고서 (2022.12),2.02303E+13,20230320,16:54,FALSE
148531,제이스코홀딩스,23440,사업보고서 (2022.12),2.02303E+13,20230321,17:29,TRUE
149266,CNH,23460,사업보고서 (2022.12),2.02303E+13,20230324,08:56,TRUE
125938,삼보판지,23600,[기재정정]사업보고서 (2022.12),2.02307E+13,20230711,14:13,TRUE
125938,삼보판지,23600,사업보고서 (2022.12),2.02303E+13,20230321,11:25,TRUE
138367,플레이위드,23770,사업보고서 (2022.12),2.02303E+13,20230321,15:46,FALSE
155452,풍국주정,23900,사업보고서 (2022.12),2.02303E+13,20230321,17:16,TRUE
113128,대한약품,23910,사업보고서 (2022.12),2.02303E+13,20230317,16:53,FALSE
167004,흥구석유,24060,사업보고서 (2022.12),2.02303E+13,20230316,14:09,TRUE
157539,KB오토시스,24120,사업보고서 (2022.12),2.02303E+13,20230322,15:58,TRUE
162832,한일단조,24740,사업보고서 (2022.12),2.02303E+13,20230321,13:45,TRUE
173999,유성티엔에스,24800,[기재정정]사업보고서 (2022.12),2.02307E+13,20230712,16:17,TRUE
173999,유성티엔에스,24800,사업보고서 (2022.12),2.02303E+13,20230321,17:52,TRUE
173999,유성티엔에스,24800,[기재정정]사업보고서 (2021.12),2.02303E+13,20230317,17:09,TRUE
173999,유성티엔에스,24800,[기재정정]사업보고서 (2020.12),2.02303E+13,20230317,17:09,FALSE
173999,유성티엔에스,24800,[기재정정]사업보고서 (2019.12),2.02303E+13,20230315,16:36,FALSE
173999,유성티엔에스,24800,[기재정정]사업보고서 (2018.12),2.02303E+13,20230315,16:36,TRUE
145738,이화전기,24810,사업보고서 (2022.12),2.02303E+13,20230323,17:12,FALSE
173591,세원물산,24830,사업보고서 (2022.12),2.02303E+13,20230322,15:41,FALSE
158024,KBI메탈,24840,사업보고서 (2022.12),2.02303E+13,20230322,15:38,TRUE
157636,케이피에프,24880,사업보고서 (2022.12),2.02303E+13,20230321,18:05,TRUE
102353,경창산업,24910,사업보고서 (2022.12),2.02303E+13,20230322,15:15,TRUE
133557,PN풍년,24940,사업보고서 (2022.12),2.02303E+13,20230317,16:28,TRUE
128607,삼천리자전거,24950,사업보고서 (2022.12),2.02303E+13,20230309,10:35,TRUE
203023,시노펙스,25320,사업보고서 (2022.12),2.02303E+13,20230317,17:22,TRUE
158015,한국선재,25550,사업보고서 (2022.12),2.02303E+13,20230316,18:16,TRUE
159342,한국정보통신,25770,사업보고서 (2022.12),2.02303E+13,20230316,13:52,FALSE
136004,신라에스지,25870,사업보고서 (2022.12),2.02303E+13,20230315,16:30,FALSE
101752,케이씨피드,25880,사업보고서 (2022.12),2.02303E+13,20230313,16:46,FALSE
116408,동신건설,25950,사업보고서 (2022.12),2.02303E+13,20230317,17:07,TRUE
161781,아난티,25980,사업보고서 (2022.12),2.02303E+13,20230321,15:21,TRUE
120289,제이에스티나,26040,사업보고서 (2022.12),2.02303E+13,20230321,14:11,FALSE
186939,특수건설,26150,[기재정정]사업보고서 (2022.12),2.02303E+13,20230324,16:29,TRUE
186939,특수건설,26150,사업보고서 (2022.12),2.02303E+13,20230324,16:29,TRUE
104120,광진실업,26910,사업보고서 (2022.12),2.02303E+13,20230317,17:03,TRUE
1210190,모비릭스,348030,사업보고서 (2022.12),2.02303E+13,20230315,16:41,FALSE
1399071,고바이오랩,348150,사업보고서 (2022.12),2.02303E+13,20230321,17:07,FALSE
1080252,넥스틴,348210,사업보고서 (2022.12),2.02303E+13,20230317,14:24,FALSE
1336461,뉴로메카,348340,사업보고서 (2022.12),2.02303E+13,20230322,15:54,FALSE
1011526,엔켐,348370,사업보고서 (2022.12),2.02303E+13,20230323,20:02,FALSE
1440153,에스에이티이엔지,351320,사업보고서 (2022.12),2.02303E+13,20230317,15:47,TRUE
1135640,이삭엔지니어링,351330,사업보고서 (2022.12),2.02303E+13,20230321,09:51,FALSE
1226410,씨앤씨인터내셔널,352480,사업보고서 (2022.12),2.02303E+13,20230323,18:11,FALSE
494546,오비고,352910,[기재정정]사업보고서 (2022.12),2.02303E+13,20230330,14:16,FALSE
494546,오비고,352910,사업보고서 (2022.12),2.02303E+13,20230322,15:26,FALSE
367871,인바이오,352940,사업보고서 (2022.12),2.02303E+13,20230322,14:23,FALSE
1084294,오토앤,353590,사업보고서 (2022.12),2.02303E+13,20230322,14:07,TRUE
1480568,이지바이오,353810,사업보고서 (2022.12),2.02303E+13,20230323,16:57,TRUE
1397903,엔젠바이오,354200,사업보고서 (2022.12),2.02303E+13,20230323,16:27,TRUE
920379,티엘비,356860,사업보고서 (2022.12),2.02303E+13,20230320,16:20,TRUE
1293953,싸이버원,356890,사업보고서 (2022.12),2.02303E+13,20230323,15:32,TRUE
1068737,에이치피오,357230,사업보고서 (2022.12),2.02303E+13,20230321,18:33,FALSE
921916,석경에이티,357550,사업보고서 (2022.12),2.02303E+13,20230323,18:42,TRUE
1012987,아모센스,357580,사업보고서 (2022.12),2.02303E+13,20230315,16:14,FALSE
1489648,솔브레인,357780,사업보고서 (2022.12),2.02303E+13,20230321,17:54,TRUE
1360875,탑머티리얼,360070,사업보고서 (2022.12),2.02303E+13,20230322,14:36,FALSE
1014718,제노코,361390,사업보고서 (2022.12),2.02303E+13,20230316,17:35,FALSE
1303029,알비더블유,361570,사업보고서 (2022.12),2.02303E+13,20230323,16:05,TRUE
405506,삼영에스앤씨,361670,사업보고서 (2022.12),2.02303E+13,20230309,16:50,FALSE
1534577,청담글로벌,362320,[기재정정]사업보고서 (2022.12),2.02307E+13,20230714,14:43,TRUE
1534577,청담글로벌,362320,사업보고서 (2022.12),2.02303E+13,20230322,17:52,TRUE
1437858,진시스템,363250,[기재정정]사업보고서 (2022.12),2.02303E+13,20230329,17:29,FALSE
1437858,진시스템,363250,[기재정정]사업보고서 (2022.12),2.02303E+13,20230322,15:49,FALSE
1437858,진시스템,363250,[기재정정]사업보고서 (2022.12),2.02303E+13,20230322,15:49,FALSE
1437858,진시스템,363250,사업보고서 (2022.12),2.02303E+13,20230321,18:27,FALSE
1397772,큐라클,365270,사업보고서 (2022.12),2.02303E+13,20230322,17:40,FALSE
1274329,성일하이텍,365340,사업보고서 (2022.12),2.02303E+13,20230323,15:49,TRUE
1354740,브이씨,365900,사업보고서 (2022.12),2.02303E+13,20230321,16:57,FALSE
1307335,공구우먼,366030,[기재정정]사업보고서 (2022.12),2.02303E+13,20230323,16:49,FALSE
1307335,공구우먼,366030,사업보고서 (2022.12),2.02303E+13,20230322,16:44,FALSE
1454341,플래티어,367000,사업보고서 (2022.12),2.02303E+13,20230322,17:09,FALSE
1302853,아이씨에이치,368600,사업보고서 (2022.12),2.02303E+13,20230321,17:59,TRUE
1491607,오에스피,368970,사업보고서 (2022.12),2.02303E+13,20230320,14:34,FALSE
1357446,퓨런티어,370090,사업보고서 (2022.12),2.02303E+13,20230321,08:27,TRUE
417167,풍원정밀,371950,사업보고서 (2022.12),2.02303E+13,20230322,16:10,TRUE
925374,윤성에프앤씨,372170,사업보고서 (2022.12),2.02303E+13,20230323,16:04,FALSE
1429840,아이티아이즈,372800,사업보고서 (2022.12),2.02303E+13,20230321,14:17,FALSE
604028,피코그램,376180,사업보고서 (2022.12),2.02303E+13,20230322,15:50,FALSE
575106,씨유테크,376290,사업보고서 (2022.12),2.02303E+13,20230322,,TRUE
1456011,디어유,376300,사업보고서 (2022.12),2.02303E+13,20230322,15:28,FALSE
1494118,노을,376930,사업보고서 (2022.12),2.02303E+13,20230321,16:21,FALSE
1441611,원티드랩,376980,사업보고서 (2022.12),2.02303E+13,20230322,14:11,FALSE
1409095,맥스트,377030,사업보고서 (2022.12),2.02303E+13,20230315,17:42,TRUE
1217865,프롬바이오,377220,사업보고서 (2022.12),2.02303E+13,20230315,16:27,FALSE
1140837,이지트로닉스,377330,사업보고서 (2022.12),2.02303E+13,20230321,17:27,FALSE
1210066,리파인,377450,사업보고서 (2022.12),2.02303E+13,20230317,10:53,TRUE
1175499,위니아에이드,377460,사업보고서 (2022.12),2.02303E+13,20230323,15:17,FALSE
1387164,샤페론,378800,사업보고서 (2022.12),2.02303E+13,20230321,17:37,FALSE
1459212,원준,382840,사업보고서 (2022.12),2.02303E+13,20230322,16:27,TRUE
1435489,범한퓨얼셀,382900,사업보고서 (2022.12),2.02303E+13,20230321,17:17,FALSE
1566248,에코프로에이치엔,383310,사업보고서 (2022.12),2.02303E+13,20230321,17:33,TRUE
1437432,디티앤씨알오,383930,사업보고서 (2022.12),2.02303E+13,20230322,13:40,TRUE
1462605,지투파워,388050,사업보고서 (2022.12),2.02303E+13,20230321,15:17,TRUE
